course_title,course_type,partnership,skill_level,topic,url,course_description,instructor_name,duration
LangChain: Chat with Your Data,Short Courses,['LangChain'],Easy,"['Computer Vision', 'Document Processing', 'Embeddings', 'RAG', 'Vector Databases']",https://www.deeplearning.ai/short-courses/langchain-chat-with-your-data,No description available,No instructor listed,1 Hour
AI for Medicine ,Specializations,[],Medium,"['Computer Vision', 'Deep Learning', 'Evaluation and Monitoring', 'Generative Models', 'NLP']",https://www.deeplearning.ai/courses/ai-for-medicine-specialization,No description available,No instructor listed,Duration not listed
Build LLM Apps with LangChain.js,Short Courses,['LangChain'],Medium,"['AI Frameworks', 'Chatbots', 'GenAI Applications', 'Prompt Engineering', 'RAG', 'Search and Retrieval']",https://www.deeplearning.ai/short-courses/build-llm-apps-with-langchain-js,No description available,No instructor listed,1 Hour
Natural Language Processing,Specializations,['Hugging Face'],Medium,"['Chatbots', 'Embeddings', 'NLP', 'Transformers']",https://www.deeplearning.ai/courses/natural-language-processing-specialization,No description available,No instructor listed,Duration not listed
Automated Testing for LLMOps,Short Courses,['CircleCI'],Medium,"['Evaluation and Monitoring', 'LLMOps', 'MLOps', 'Prompt Engineering']",https://www.deeplearning.ai/short-courses/automated-testing-llmops,No description available,No instructor listed,1 Hour
Large Language Models with Semantic Search,Short Courses,['Cohere'],Easy,"['Embeddings', 'NLP', 'RAG', 'Search and Retrieval', 'Vector Databases']",https://www.deeplearning.ai/short-courses/large-language-models-semantic-search,No description available,No instructor listed,1 Hour
TensorFlow Developer Professional Certificate,Specializations,[],Medium,"['AI Frameworks', 'Computer Vision', 'Deep Learning', 'NLP', 'Time Series']",https://www.deeplearning.ai/courses/tensorflow-developer-professional-certificate,No description available,No instructor listed,Duration not listed
Building Applications with Vector Databases,Short Courses,['Pinecone'],Easy,"['Anomaly Detection', 'Embeddings', 'MultiModal', 'Vector Databases']",https://www.deeplearning.ai/short-courses/building-applications-vector-databases,No description available,No instructor listed,1 Hour
TensorFlow: Data and Deployment,Specializations,[],Medium,"['Data Processing', 'MLOps', 'On-Device AI']",https://www.deeplearning.ai/courses/tensorflow-data-and-deployment-specialization,No description available,No instructor listed,Duration not listed
Serverless LLM apps with Amazon Bedrock,Short Courses,['AWS'],Medium,"['Event-Driven AI', 'GenAI Applications', 'LLMOps']",https://www.deeplearning.ai/short-courses/serverless-llm-apps-amazon-bedrock,No description available,No instructor listed,1 Hour
Generative Adversarial Networks (GANs),Specializations,[],Medium,"['Computer Vision', 'Deep Learning', 'Generative Models']",https://www.deeplearning.ai/courses/generative-adversarial-networks-gans-specialization,No description available,No instructor listed,Duration not listed
Prompt Engineering with Llama 2 & 3,Short Courses,['Meta'],Easy,"['AI Safety', 'GenAI Applications', 'Generative Models', 'Prompt Engineering', 'Transformers']",https://www.deeplearning.ai/short-courses/prompt-engineering-with-llama-2,No description available,No instructor listed,1 Hour
TensorFlow: Advanced Techniques,Specializations,[],Medium,[],https://www.deeplearning.ai/courses/tensorflow-advanced-techniques-specialization,No description available,No instructor listed,Duration not listed
Open Source Models with Hugging Face,Short Courses,['Hugging Face'],Easy,"['Chatbots', 'Generative Models', 'MultiModal', 'NLP', 'Prompt Engineering', 'Transformers']",https://www.deeplearning.ai/short-courses/open-source-models-hugging-face,No description available,No instructor listed,1 Hour
Pair Programming with a Large Language Model,Short Courses,['Google'],Easy,"['AI in Software Development', 'GenAI Applications', 'Prompt Engineering']",https://www.deeplearning.ai/short-courses/pair-programming-llm,No description available,No instructor listed,1 Hour
Knowledge Graphs for RAG,Short Courses,['Neo4j'],Medium,"['Embeddings', 'GenAI Applications', 'RAG', 'Search and Retrieval', 'Vector Databases']",https://www.deeplearning.ai/short-courses/knowledge-graphs-rag,No description available,No instructor listed,1 Hour
Efficiently Serving LLMs,Short Courses,['Predibase'],Medium,"['Fine-Tuning', 'Generative Models', 'LLMOps', 'LLM Serving', 'Transformers']",https://www.deeplearning.ai/short-courses/efficiently-serving-llms,No description available,No instructor listed,1 Hour
JavaScript RAG Web Apps with LlamaIndex,Short Courses,['LlamaIndex'],Easy,"['AI Frameworks', 'GenAI Applications', 'Prompt Engineering', 'RAG', 'Search and Retrieval']",https://www.deeplearning.ai/short-courses/javascript-rag-web-apps-with-llamaindex,No description available,No instructor listed,1 Hour
Red Teaming LLM Applications,Short Courses,['Giskard'],Easy,"['AI Safety', 'Chatbots', 'Generative Models', 'LLMOps', 'Prompt Engineering']",https://www.deeplearning.ai/short-courses/red-teaming-llm-applications,No description available,No instructor listed,1 Hour
